trad,ss01,ss02,ss03,ss04,ss05,ss06,ss07
兹,,,,,,,
养,,,,,,,
兼,,,,,,,
兽,,,,,,,
兿,,,,,,,
冀,,,,,丠,丠,
冁,,,,,,,
内,,,,,,,
冈,,,,,,,
冉,,,,,,,
冊,,册,,册,册,册,册
册,,,,,,,
再,,,,,,,
冑,,胄,,胄,胄,胄,胄
冒,,,,,,,
冕,,,,,,,
冗,,,,,,,
写,,,,,,,
军,,,,,,,
农,,,,,,,
冠,,,,,,,
冢,,,,,,,
冤,,,,,,,
冥,,,,,,,
冪,,幂,,幂,幂,幂,幂
冬,,,,,,,
冯,,,,,,,
冰,,,,,,,
冱,,,,,,,
冲,,,,,,,
决,,,,,,,
况,,,,,,,
冶,,,,,,,
冷,,,,,,,
冻,,,,,,,
冼,,,,,,,
冽,,,,,,,
净,,,,,,,
凄,,,,,,,
准,,,,,,准.er2,
凈,,净,,净,净,净,净
凉,,,,,,,
凋,,,,,,刁,
凌,,,,,,,
凍,冻,冻,冻,冻,冻,冻,冻
减,,,,,,,
凑,,,,,,,
凛,,,,,,,
凜,,凛,,凛,凛,凛,凛
凝,,,,,,泞,
几,,,,,,,
凡,,,,,,,
凤,,,,,,,
処,,,,,,,
凨,,,,,,,
凫,,,,,,,
凭,,,,,,,
凯,,,,,,,
凰,,,,,,,
凱,,凯,,凯,凯,凯,凯
凳,,,,,,,
凵,,,,,,,
凶,,,,,,,
凸,,,,,,,
凹,,,,,,,
出,,,,,,,
击,,,,,,,
函,,,,,,,
凿,,,,,,,
刀,,,,,,,
刁,,,,,,,
刃,,,,,,,
分,,,,,,,
切,,,,,,,
刈,,,,,,,
刊,,,,,,,
刍,,,,,,,
刎,,,,,,,
刑,,,,,,,
划,,,,,,,
刖,,,,,,,
列,,,,,,,
刘,,,,,,,
则,,,,,,,
刚,,,,,,,
创,,,,,,,
初,,,,,,𥘉,
删,,,,,,,
判,,,,,,,
別,,别,,别,别,别,别
刨,,,,,,,
利,,,,,,,
刪,,删,,删,删,删,删
别,,,,,,,
刭,,,,,,,
刮,,,,,,,
到,,,,,,,
刳,,,,,,,
制,,,,,,,
刷,,,,,,,
券,,,,,,,
刹,,,,,,,
刺,,,,,,,
刻,,,,,,刻.er2,
刽,,,,,,,
刿,,,,,,,
剀,,,,,,,
剁,,,,,,,
剂,,,,,,,
剃,,,,,,,
剄,,刭,,刭,刭,刭,刭
則,,则,,则,则,则,则
削,,,,,,,
剋,,克,,克,克,克,克
剌,,,,,,,
前,,,,,,,
剎,,刹,杀,杀,刹,刹,刹
剐,,,,,,,
剑,,,,,,,
剔,,,,,剔.er1,剔.er1,
剖,,,,,,,
剛,,刚,刚,刚,刚,刚,刚
剜,,,,,,,
剝,,剥,,剥,剥,剥,剥
剞,,,,,,,
剡,,,,,,,
剤,,,,,,,
剥,,,,,,,
剧,,,,,,,
剩,,,,,,剩.er2,
剪,,,,,,,
剮,,剐,,剐,剐,剐,剐
副,,,,,付,付,
割,,,,,,刈,
剴,,剀,,剀,剀,剀,剀
創,,创,,创,创,创,创
剷,,铲,,铲,铲,铲,铲
剽,,,,,,,
剿,,,,,,𠜅,
劁,,,,,,,
劂,,,,,,,
劃,㓰,划,㓰,㓰,划,划,划
劇,,剧,剧,剧,剧,剧,剧
劈,,,,,,,
劉,刘,刘,刘,刘,刘,刘,刘
劊,,刽,,刽,刽,刽,刽
劌,,刿,,刿,刿,刿,刿
劍,,剑,剑,剑,剑,剑,剑
劑,剤,剂,剂,剂,剂,剂,剂
劓,,,,,,,
力,,,,,,,
劝,,,,,,,
办,,,,,,,
功,,,,,,,
加,,,,,,,
务,,,,,,,
劢,,,,,,,
劣,,,,,,,
动,,,,,,,
助,,,,,,,
努,,,,,,,
劫,,,,,,,
劬,,,,,,,
劭,,,,,,,
劯,,,,,,,
励,,,,,,,
劲,,,,,,,
劳,,,,,,,
劻,,,,,,,
劾,,,,,,,
势,,,,,,,
勁,,劲,劲,劲,劲,劲,劲
勃,,,,,,孛,
勇,,,,,,,
勉,,,,,,,
勋,,,,,,,
勒,,,,,,,
動,,动,动,动,动,动,动
勖,,,,,,,
勗,,勖,,勖,勖,勖,勖
勘,勘.kmt,勘.gbk,,,勘.gbk,勘.gbk,勘.gbk
務,,务,务,务,务,务,务
勚,,,,,,,
勛,,勋,,勋,勋,勋,勋
勝,,胜,胜,胜,胜,胜,胜
勞,劳,劳,劳,劳,劳,劳,劳
募,,,,,,,
勢,势,势,势,势,势,势,势
勣,,绩,,绩,绩,绩,绩
勤,,,,,勤.er1,勤.er1,
勦,,剿,,剿,剿,剿,剿
勩,,勚,,勚,勚,勚,勚
勰,,,,,,,
勱,,劢,,劢,劢,劢,劢
勳,勛,勋,,勋,勋,勋,勋
勵,励,励,励,励,励,励,励
勸,劝,劝,劝,劝,劝,劝,劝
勺,,,,,,,
勻,,匀,,匀,匀,匀,匀
勾,,,,,,,
勿,,,,,,,
匀,,,,,,,
包,,,,,,,
匆,,,,,,,
匈,,,,,,,
匊,,,,,,,
匍,,,,,,,
匏,,,,,,,
匐,,,,,,伏,
匕,,,,,,,
化,,,,,,,
北,,,,,,,
匙,,,,,,,
匚,,,,,,,
匝,,,,,,,
匠,,,,,,,
匡,,,,,,,
匣,,,,,,,
匦,,,,,,,
匪,,,,,,,
匭,,匦,,匦,匦,匦,匦
匮,,,,,,,
匯,,汇,汇,汇,汇,汇,汇
匱,,匮,,匮,匮,匮,匮
匹,,,,,,,
区,,,,,,,
医,,,,,,,
匾,,,,,,,
匿,,,,,,,
區,区.kmt,区,区,区,区,区,区
十,,,,,,,
千,,,,,,,
卄,,,,,,,
卅,,,,,,,
卆,,,,,,,
升,,,,,,,
午,,,,,,,
卉,,,,,,,
半,,,,,,,
华,,,,,,,
协,,,,,,,
卑,,,,,,,
卒,卆,,,,卆,卆,
卓,,,,,,,
協,协,协,协,协,协,协,协
单,,,,,,,
卖,,,,,,,
南,,,,,,南.er2,
博,,,,,,博.er2,
卜,,,,,,,
卞,,,,,,,
占,,,,,,,
卡,,,,,,,
卢,,,,,,,
卣,,,,,,,
卤,,,,,,,
卦,,,,,,,
卧,,,,,,,
卫,,,,,,,
卮,,,,,,,
卯,,,,,,,
印,,,,,,,
危,,,,,,,
即,,,,,,,
却,,,,,,,
卵,,,,,,,
卷,,,,,,,
卸,,,,,,,
卹,,,,,,,
卻,,却,却,却,却,却,却
卿,,,,,,,
厂,,,,,,,
厄,,,,,,,
厅,,,,,,,
历,,,,,,,
厉,,,,,,,
压,,,,,,,
厌,,,,,,,
厍,,,,,,,
厕,,,,,,,
厘,,,,,,,
厙,,厍,,厍,厍,厍,厍
厚,,,,,,,
厛,,,,,,,
厝,,,,,,,
原,,,,,原.er1,原.er1,
厢,,,,,,,
厣,,,,,,,
厤,,历,,历,历,历,历
厥,,,,,,厥.er2,
厦,,,,,,厦.er2,
厨,,,,,,,
厩,,,,,,厩.er2,
厭,,厌,厌,厌,厌,厌,厌
厮,,,,,,厮.er2,
厲,厉,厉,厉,厉,厉,厉,厉
厴,,厣,,厣,厣,厣,厣
厶,,,,,,,
厷,,,,,,,
去,,,,,,,
厽,,,,,,,
县,,,,,,,
参,,,,,,,
參,,参,参,参,参,参,参
叆,,,,,,,
叇,,,,,,,
又,,,,,,,
叉,,,,,,,
及,,,,,,,
友,,,,,,,
双,,,,,,,
反,,,,,,,
发,,,,,,,
叔,,,,,,,
取,,,,,,取.er2,
受,,,,,,,
变,,,,,,,
叙,,,,,,,
叛,,,,,,,
叟,,,,,,叟.er2,
叠,,,,,,,
叢,樷,丛,,丛,丛,丛,丛
口,,,,,,,
古,,,,,,,
句,,,,,,,
另,,,,,,,
叨,,,,,,,
叩,,,,,,,
只,,,,,,,
叫,,,,,,,
召,,,,,,,
叭,,,,,,,
叮,,,,,丁,丁,
可,,,,,,,
台,,,,,,,
叱,,,,,,,
史,,,,,,,
右,,,,,,,
叵,,,,,,,
叶,,,,,,,
号,,,,,,,
司,,,,,,,
叹,,,,,,,
叻,,,,,,,
叼,,,,,,,
叽,,,,,几,几,
吁,,,,,,,
吃,,,,,,,
各,,,,,,,
吆,,,,,,,
合,,,,,,,
吉,,,,,,,
吊,,,,,,,
吋,,,,,,,
同,,,,,,,
名,,,,,,,
后,,,,,,,
吏,,,,,,,
吐,,,,,,,
向,,,,,,,
吒,,咤,,咤,咤,咤,咤
吓,,,,,,,
吕,,,,,,,
吗,,,,,,,
君,,,,,,,
吝,,,,,,,
吞,,,,,,,
吟,,,,,,,
吠,,,,,,,
吣,,,,,,,
否,,,,,,,
吧,,,,,,,
吨,,,,,,,
吩,,,,,,分,
含,,,,,,,
听,,,,,,,
吭,,,,,,,
吮,,,,,,,
启,,,,,,,
吱,,,,,,,
吳,,吴,,吴,吴,吴,吴
吴,,,,,,,
吵,,,,,,,
吶,,呐,,呐,呐,呐,呐
吸,,,,,,,
吹,,,,,,,
吻,,,,,,,
吼,,,,,,,
吾,,,,,,,
呀,,,,,,,
呂,,吕,,吕,吕,吕,吕
呃,,,,,,,
呆,,,,,,,
呈,,,,,,,
告,,,,,,,
呎,,,,,,,
呐,,,,,,,
呒,,,,,,,
呓,,,,,,,
呔,,,,,,,
呕,,,,,,,
呖,,,,,,,
呗,,,,,,,
员,,,,,,,
呙,,,,,,,
呛,,,,,,,
呜,,,,,,,
呢,,,,,,,
呤,,,,,,,
呦,,,,,,,
周,,,,,,,
呱,,,,,,,
呲,,,,,,,
味,,,,,,,
呵,,,,,,,
呶,,,,,,,
呷,,,,,,,
呸,,,,,,,
呻,,,,,,,
呼,,,,,,,
命,,,,,,,
咀,,,,,,,
咂,,,,,,,
咄,,,,,,,
咆,,,,,,,
咋,,,,,,,
和,,,,,,,
咎,,,,,,,
咏,,,,,,,
咐,,,,,,付,
咒,,,,,,,
咔,,,,,卡,卡,
咕,,,,,,,
咖,,,,,,,
咙,,,,,,,
咚,,,,,,,
咛,,,,,,宁,
咤,,,,,,,
咦,,,,,,,
咧,,,,,,,
咨,,,,,,,
咩,,,,,,,
咪,,,,,,,
咫,,,,,,,
咬,,,,,,,
咭,,,,,,,
咯,,,,,,,
咱,,,,,,,
咳,,,,,,咳.er2,
咸,,,,,,,
咻,,,,,,,
咼,,呙,,呙,呙,呙,呙
咽,,,,,,,
咿,,,,,,,
哀,,,,,,,
品,,,,,,,
哂,,,,,,,
哄,,,,,,,
哆,,,,,,多,
哇,,,,,,,
哈,,,,,,,
哉,,,,,,,
响,,,,,,,
哎,,,,,,,
哏,,,,,,,
哐,,,,,,匡,
哑,,,,,,,
哒,,,,,,,
哓,,,,,,,
哔,,,,,毕,毕,
哕,,,,,,,
哗,,,,,,,
哙,,,,,,,
哜,,,,,,,
哝,,,,,,,
哞,,,,,,,
哟,,,,,,,
員,,员,,员,员,员,员
哥,,,,,,,
哦,,,,,,,
哧,,,,,,,
哨,,,,,,,
哩,,,,,,,
哪,,,,,,,
哭,,,,,,,
哮,,,,,,,
哲,,,,,,,
哳,,,,,,,
哺,,,,,,,
哼,,,,,,,
哽,,,,,,,
哿,,,,,,,
唁,,,,,,,
唄,,呗,,呗,呗,呗,呗
唆,,,,,,,
唇,,,,,,,
唉,,,,,,,
唏,,,,,,,
唐,,,,,,,
唑,,,,,,,
唔,,,,,,,
唖,,,,,,,
唚,,吣,,吣,吣,吣,吣
唛,,,,,,,
唝,,,,,,,
唠,,,,,,,
唡,,,,,,,
唢,,,,,,,
唤,,,,,,,
唧,,,,,,,
唪,,,,,,,
唬,,,,,,,
售,,,,,,售.er2,
唯,,,,,,唯.er2,
唰,,,,,,,
唱,,,,,,,
唳,,,,,,,
唷,,,,,,,
唸,,,,,,,
唼,,,,,,,
唾,,,,,,,
啁,,,,,,,
啃,,,,,,,
啄,,,,,,,
商,,,,,,商.er2,
啊,,,,,,,
問,问,问,问,问,问,问,问
啐,,,,,𠯥,𠯥,
啕,,,,,,,
啖,,,,,,,
啗,,,,,,,
啜,,,,,,,
啞,唖,哑,,哑,哑,哑,哑
啟,启,启,,启,启,启,启
啡,,,,,,,
啢,,唡,,唡,唡,唡,唡
啣,,,,,,,
啤,,,,,,,
啥,,,,,,,
啦,,,,,,,
啧,,,,,,,
啪,,,,,,,
啬,,,,,,,
啭,,,,,,,
啮,,,,,,,
啰,,,,,,罗,
啴,,,,,,,
啵,,,,,,,
啶,,,,,,,
啷,,,,,,,
啸,,,,,,,
啻,,,,,,,
啼,,,,,,,
啾,,,,,,,
喀,,,,,,,
喁,,,,,,,
喂,,,,,,,
喃,,,,,,喃.er2,
善,,,,,,,
喇,,,,,,,
喈,,,,,,,
喉,,,,,,,
喊,,,,,,,
喋,,,,,,,
喎,,㖞,,㖞,㖞,㖞,㖞
喏,,,,,,,
喑,,,,,,,
喔,,,,,,,
喘,,,,,,,
喙,,,,,,,
喚,,唤,,唤,唤,唤,唤
喜,,,,,,喜.er2,
喝,,,,,,,
喟,,,,,,,
喧,,,,,,,
喨,,,,,,亮,
喪,丧,丧,,丧,丧,丧,丧
喫,,吃,,吃,吃,吃,吃
喬,乔,乔,,乔,乔,乔,乔
單,,单,单,单,单,单,单
喱,,,,,,,
喲,,哟,,哟,哟,哟,哟
喳,,,,,,,
喵,,,,,,,
喷,,,,,,,
喻,,,,,,,
喽,,,,,,,
喾,,,,,,,
嗄,,,,,,,
嗅,,,,,,,
嗆,,呛,,呛,呛,呛,呛
嗇,,啬,,啬,啬,啬,啬
嗉,,,,,,,
嗊,,唝,,唝,唝,唝,唝
嗌,,,,,,,
嗍,,,,,,,
嗎,,吗,,吗,吗,吗,吗
嗑,,,,,,,
嗒,,,,,,,
嗓,,,,,嗓.er1,嗓.er1,
嗔,,,,,,,
嗖,,,,,,叟.er2,
嗚,,呜,,呜,呜,呜,呜
嗜,,,,,,,
嗝,,,,,,,
嗟,,,,,,,
嗡,,,,,,,
嗣,,,,,,,
嗤,,,,,,,
嗥,,,,,,,
嗦,,,,,,索,
嗧,,,,,,,
嗨,,,,,,,
嗩,,唢,,唢,唢,唢,唢
嗫,,,,,,,
